============================================================
YaTC Fine-tuning
============================================================
Start time: 2026-01-15 18:28:23
Data path: /root/autodl-tmp/YaTc/data/vpn_top1000_split
Output dir: /root/YaTC/output/vpn_top1000
Device: cuda
Data format: NPZ
Log file: /root/YaTC/output/vpn_top1000/finetune_20260115_182823.log

Dataset:
  Num classes:   1000
  Train samples: 9922000
  Val samples:   1239853
  Test samples:  1241147

Training Configuration:
  Batch size:      64
  Learning rate:   0.002
  Weight decay:    0.05
  Epochs:          200
  Warmup epochs:   5
  Layer decay:     0.65
  Drop path rate:  0.1
  Label smoothing: 0.1
============================================================
Loaded pre-trained weights from: /root/YaTC/checkpoints/pretrained.pth
Model parameters: 2,050,984

Starting training for 200 epochs...
------------------------------------------------------------
Epoch  49 | Train Loss: 2.3968 | Train Acc: 0.4964 | Val Acc: 0.5094 | Val F1: 0.4153
Epoch  50 | Train Loss: 2.3949 | Train Acc: 0.4966 | Val Acc: 0.5047 | Val F1: 0.4067
Epoch  51 | Train Loss: 2.3930 | Train Acc: 0.4974 | Val Acc: 0.5150 | Val F1: 0.4153 *
Epoch  52 | Train Loss: 2.3923 | Train Acc: 0.4975 | Val Acc: 0.5078 | Val F1: 0.4117
Epoch  53 | Train Loss: 2.3905 | Train Acc: 0.4980 | Val Acc: 0.5128 | Val F1: 0.4198
Epoch  54 | Train Loss: 2.3894 | Train Acc: 0.4985 | Val Acc: 0.4988 | Val F1: 0.4042
Epoch  55 | Train Loss: 2.3910 | Train Acc: 0.4981 | Val Acc: 0.5157 | Val F1: 0.4233 *
Epoch  56 | Train Loss: 2.3881 | Train Acc: 0.4987 | Val Acc: 0.5004 | Val F1: 0.4002
Epoch  57 | Train Loss: 2.3867 | Train Acc: 0.4993 | Val Acc: 0.5113 | Val F1: 0.4200
Epoch  58 | Train Loss: 2.3854 | Train Acc: 0.4995 | Val Acc: 0.5172 | Val F1: 0.4234 *
Epoch  59 | Train Loss: 2.3842 | Train Acc: 0.4999 | Val Acc: 0.5154 | Val F1: 0.4222
Epoch  60 | Train Loss: 2.3825 | Train Acc: 0.5002 | Val Acc: 0.5137 | Val F1: 0.4222
Epoch  61 | Train Loss: 2.3804 | Train Acc: 0.5007 | Val Acc: 0.4840 | Val F1: 0.3930
Epoch  62 | Train Loss: 2.3791 | Train Acc: 0.5011 | Val Acc: 0.5105 | Val F1: 0.4166
Epoch  63 | Train Loss: 2.3775 | Train Acc: 0.5016 | Val Acc: 0.5075 | Val F1: 0.4122
Epoch  64 | Train Loss: 2.3760 | Train Acc: 0.5019 | Val Acc: 0.4857 | Val F1: 0.3911
Epoch  65 | Train Loss: 2.3748 | Train Acc: 0.5022 | Val Acc: 0.5101 | Val F1: 0.4173
Epoch  66 | Train Loss: 2.3729 | Train Acc: 0.5027 | Val Acc: 0.5166 | Val F1: 0.4240
Epoch  67 | Train Loss: 2.3710 | Train Acc: 0.5032 | Val Acc: 0.5207 | Val F1: 0.4318 *
Epoch  68 | Train Loss: 2.3688 | Train Acc: 0.5035 | Val Acc: 0.5125 | Val F1: 0.4248
Epoch  69 | Train Loss: 2.3680 | Train Acc: 0.5037 | Val Acc: 0.5156 | Val F1: 0.4231
Epoch  70 | Train Loss: 2.3657 | Train Acc: 0.5043 | Val Acc: 0.5127 | Val F1: 0.4170
Epoch  71 | Train Loss: 2.3637 | Train Acc: 0.5048 | Val Acc: 0.5180 | Val F1: 0.4287
Epoch  72 | Train Loss: 2.3628 | Train Acc: 0.5052 | Val Acc: 0.5192 | Val F1: 0.4273
Epoch  73 | Train Loss: 2.3609 | Train Acc: 0.5055 | Val Acc: 0.5192 | Val F1: 0.4267
Epoch  74 | Train Loss: 2.3596 | Train Acc: 0.5056 | Val Acc: 0.5189 | Val F1: 0.4237
Epoch  75 | Train Loss: 2.3573 | Train Acc: 0.5064 | Val Acc: 0.5224 | Val F1: 0.4329 *
Epoch  76 | Train Loss: 2.3560 | Train Acc: 0.5067 | Val Acc: 0.5229 | Val F1: 0.4340 *
Epoch  77 | Train Loss: 2.3540 | Train Acc: 0.5071 | Val Acc: 0.5210 | Val F1: 0.4295
Epoch  78 | Train Loss: 2.3524 | Train Acc: 0.5076 | Val Acc: 0.5200 | Val F1: 0.4292
Epoch  79 | Train Loss: 2.3510 | Train Acc: 0.5080 | Val Acc: 0.5224 | Val F1: 0.4301
Epoch  80 | Train Loss: 2.3492 | Train Acc: 0.5085 | Val Acc: 0.5228 | Val F1: 0.4278
Epoch  81 | Train Loss: 2.3473 | Train Acc: 0.5089 | Val Acc: 0.5231 | Val F1: 0.4340 *
Epoch  82 | Train Loss: 2.3458 | Train Acc: 0.5092 | Val Acc: 0.5226 | Val F1: 0.4316
Epoch  83 | Train Loss: 2.3444 | Train Acc: 0.5097 | Val Acc: 0.5256 | Val F1: 0.4319 *
Epoch  84 | Train Loss: 2.3428 | Train Acc: 0.5099 | Val Acc: 0.5189 | Val F1: 0.4262
Epoch  85 | Train Loss: 2.3412 | Train Acc: 0.5103 | Val Acc: 0.5199 | Val F1: 0.4301
Epoch  86 | Train Loss: 2.3394 | Train Acc: 0.5109 | Val Acc: 0.5196 | Val F1: 0.4282
Epoch  87 | Train Loss: 2.3381 | Train Acc: 0.5111 | Val Acc: 0.5263 | Val F1: 0.4358 *
Epoch  88 | Train Loss: 2.3356 | Train Acc: 0.5117 | Val Acc: 0.5202 | Val F1: 0.4297
Epoch  89 | Train Loss: 2.3340 | Train Acc: 0.5125 | Val Acc: 0.5157 | Val F1: 0.4281
Epoch  90 | Train Loss: 2.3322 | Train Acc: 0.5129 | Val Acc: 0.5259 | Val F1: 0.4328
Epoch  91 | Train Loss: 2.3306 | Train Acc: 0.5130 | Val Acc: 0.5261 | Val F1: 0.4394
Epoch  92 | Train Loss: 2.3290 | Train Acc: 0.5135 | Val Acc: 0.5255 | Val F1: 0.4335
Epoch  93 | Train Loss: 2.3270 | Train Acc: 0.5140 | Val Acc: 0.5276 | Val F1: 0.4425 *
Epoch  94 | Train Loss: 2.3255 | Train Acc: 0.5145 | Val Acc: 0.5280 | Val F1: 0.4397 *
Epoch  95 | Train Loss: 2.3238 | Train Acc: 0.5148 | Val Acc: 0.5283 | Val F1: 0.4386 *
Epoch  96 | Train Loss: 2.3219 | Train Acc: 0.5156 | Val Acc: 0.5271 | Val F1: 0.4418
Epoch  97 | Train Loss: 2.3198 | Train Acc: 0.5158 | Val Acc: 0.5260 | Val F1: 0.4383
Epoch  98 | Train Loss: 2.3181 | Train Acc: 0.5162 | Val Acc: 0.5302 | Val F1: 0.4428 *
Epoch  99 | Train Loss: 2.3158 | Train Acc: 0.5170 | Val Acc: 0.5279 | Val F1: 0.4370
Epoch 100 | Train Loss: 2.3143 | Train Acc: 0.5172 | Val Acc: 0.5249 | Val F1: 0.4375
Epoch 101 | Train Loss: 2.3123 | Train Acc: 0.5178 | Val Acc: 0.5339 | Val F1: 0.4470 *
Epoch 102 | Train Loss: 2.3102 | Train Acc: 0.5184 | Val Acc: 0.5252 | Val F1: 0.4349
Epoch 103 | Train Loss: 2.3088 | Train Acc: 0.5188 | Val Acc: 0.5301 | Val F1: 0.4458
Epoch 104 | Train Loss: 2.3065 | Train Acc: 0.5192 | Val Acc: 0.5328 | Val F1: 0.4475
